Data start

1 --, NaN Hz
2 --, NaN Hz
3 --, NaN Hz
4 --, NaN Hz
5 --, NaN Hz
6 --, NaN Hz
7 --, NaN Hz
8 --, NaN Hz
9 --, NaN Hz
10 --, NaN Hz
11 --, NaN Hz
12 --, NaN Hz
13 --, NaN Hz
14 --, NaN Hz
15 --, NaN Hz
16 --, NaN Hz
17 --, NaN Hz
18 --, NaN Hz
19 --, NaN Hz
20 --, NaN Hz
21 --, NaN Hz
22 --, NaN Hz
23 --, NaN Hz
24 --, NaN Hz
25 --, NaN Hz
26 --, NaN Hz
27 --, NaN Hz
28 --, NaN Hz
29 --, NaN Hz
30 --, NaN Hz
31 --, NaN Hz
32 --, NaN Hz
33 --, NaN Hz
34 --, NaN Hz
35 --, NaN Hz
36 --, NaN Hz
37 --, NaN Hz
38 --, NaN Hz
39 --, NaN Hz
40 --, NaN Hz
41 --, NaN Hz
42 --, NaN Hz
43 --, NaN Hz
44 --, NaN Hz
45 --, NaN Hz
46 --, NaN Hz
47 --, NaN Hz
48 --, NaN Hz
49 --, NaN Hz
50 --, NaN Hz
51 --, NaN Hz
52 --, NaN Hz
53 --, NaN Hz
54 --, NaN Hz
55 --, NaN Hz
56 --, NaN Hz
57 --, NaN Hz
58 --, NaN Hz
59 --, NaN Hz
60 --, NaN Hz
61 --, NaN Hz
62 --, NaN Hz
63 --, NaN Hz
64 --, NaN Hz
65 --, NaN Hz
66 --, NaN Hz
67 --, NaN Hz
68 --, NaN Hz
69 --, NaN Hz
70 --, NaN Hz
71 --, NaN Hz
72 --, NaN Hz
73 --, NaN Hz
74 --, NaN Hz
75 --, NaN Hz
76 --, NaN Hz
77 --, NaN Hz
78 --, NaN Hz
79 --, NaN Hz
80 --, NaN Hz
81 --, NaN Hz
82 --, NaN Hz
83 --, NaN Hz
84 --, NaN Hz
85 --, NaN Hz
86 --, NaN Hz
87 --, NaN Hz
88 --, NaN Hz
89 --, NaN Hz
90 --, NaN Hz
91 --, NaN Hz
92 --, NaN Hz
93 --, NaN Hz
94 --, NaN Hz
95 --, NaN Hz
96 --, NaN Hz
97 --, NaN Hz
98 --, NaN Hz
99 --, NaN Hz
100 --, NaN Hz
101 --, NaN Hz
102 --, NaN Hz
103 --, NaN Hz
104 --, NaN Hz
105 --, NaN Hz
106 --, NaN Hz
107 --, NaN Hz
108 --, NaN Hz
109 --, NaN Hz
110 --, NaN Hz
111 --, NaN Hz
112 --, NaN Hz
113 --, NaN Hz
114 --, NaN Hz
115 --, NaN Hz
116 --, NaN Hz
117 --, NaN Hz
118 --, NaN Hz
119 --, NaN Hz
120 --, NaN Hz
121 --, NaN Hz
122 --, NaN Hz
123 --, NaN Hz
124 --, NaN Hz
125 --, NaN Hz
126 --, NaN Hz
127 --, NaN Hz
128 --, NaN Hz
129 --, NaN Hz
130 --, NaN Hz
131 --, NaN Hz
132 --, NaN Hz
133 --, NaN Hz
134 --, NaN Hz
135 --, NaN Hz
136 --, NaN Hz
137 --, NaN Hz
138 --, NaN Hz
139 --, NaN Hz
140 --, NaN Hz
141 --, NaN Hz
142 --, NaN Hz
143 --, NaN Hz
144 --, NaN Hz
145 --, NaN Hz
146 --, NaN Hz
147 --, NaN Hz
148 --, NaN Hz
149 --, NaN Hz
150 --, NaN Hz
151 --, NaN Hz
152 --, NaN Hz
153 --, NaN Hz
154 --, NaN Hz
155 --, NaN Hz
156 --, NaN Hz
157 --, NaN Hz
158 --, NaN Hz
159 --, NaN Hz
160 --, NaN Hz
161 --, NaN Hz
162 --, NaN Hz
163 --, NaN Hz
164 --, NaN Hz
165 --, NaN Hz
166 --, NaN Hz
167 --, NaN Hz
168 --, NaN Hz
169 --, NaN Hz
170 --, NaN Hz
171 --, NaN Hz
172 --, NaN Hz
173 --, NaN Hz
174 --, NaN Hz
175 --, NaN Hz
176 --, NaN Hz
177 --, NaN Hz
178 --, NaN Hz
179 --, NaN Hz
180 --, NaN Hz
181 --, NaN Hz
182 --, NaN Hz
183 --, NaN Hz
184 --, NaN Hz
185 --, NaN Hz
186 --, NaN Hz
187 --, NaN Hz
188 --, NaN Hz
189 --, NaN Hz
190 --, NaN Hz
191 --, NaN Hz
192 --, NaN Hz
193 --, NaN Hz
194 --, NaN Hz
195 --, NaN Hz
196 --, NaN Hz
197 --, NaN Hz
198 --, NaN Hz
199 --, NaN Hz
200 --, NaN Hz
201 --, NaN Hz
202 --, NaN Hz
203 --, NaN Hz
204 --, NaN Hz
205 --, NaN Hz
206 --, NaN Hz
207 --, NaN Hz
208 --, NaN Hz
209 --, NaN Hz
210 --, NaN Hz
211 --, NaN Hz
212 --, NaN Hz
213 --, NaN Hz
214 --, NaN Hz
215 --, NaN Hz
216 --, NaN Hz
217 --, NaN Hz
218 --, NaN Hz
219 --, NaN Hz
220 --, NaN Hz
221 --, NaN Hz
222 --, NaN Hz
223 --, NaN Hz
224 --, NaN Hz
225 --, NaN Hz
226 --, NaN Hz
227 --, NaN Hz
228 --, NaN Hz
229 --, NaN Hz
230 --, NaN Hz
231 --, NaN Hz
232 --, NaN Hz
233 --, NaN Hz
234 --, NaN Hz
235 --, NaN Hz
236 --, NaN Hz
237 --, NaN Hz
238 --, NaN Hz
239 --, NaN Hz
240 --, NaN Hz
241 --, NaN Hz
242 --, NaN Hz
243 --, NaN Hz
244 --, NaN Hz
245 --, NaN Hz
246 --, NaN Hz
247 --, NaN Hz
248 --, NaN Hz
249 --, NaN Hz
250 --, NaN Hz
251 --, NaN Hz
252 --, NaN Hz
253 --, NaN Hz
254 --, NaN Hz
255 --, NaN Hz
256 --, NaN Hz
257 --, NaN Hz
258 --, NaN Hz
259 --, NaN Hz
260 --, NaN Hz
261 --, NaN Hz
262 --, NaN Hz
263 --, NaN Hz
264 --, NaN Hz
265 --, NaN Hz
266 --, NaN Hz
267 --, NaN Hz
268 --, NaN Hz
269 --, NaN Hz
270 --, NaN Hz
271 --, NaN Hz
272 --, NaN Hz
273 --, NaN Hz
274 --, NaN Hz
275 --, NaN Hz
276 --, NaN Hz
277 --, NaN Hz
278 --, NaN Hz
279 --, NaN Hz
280 --, NaN Hz
281 --, NaN Hz
282 --, NaN Hz
283 --, NaN Hz
284 --, NaN Hz
285 --, NaN Hz
286 --, NaN Hz
287 --, NaN Hz
288 --, NaN Hz
289 --, NaN Hz
290 --, NaN Hz
291 --, NaN Hz
292 --, NaN Hz
293 --, NaN Hz
294 --, NaN Hz
