Data start

1 --, NaN Hz
295 --, NaN Hz
296 --, NaN Hz
297 --, NaN Hz
298 --, NaN Hz
299 --, NaN Hz
300 --, NaN Hz
301 --, NaN Hz
302 --, NaN Hz
303 --, NaN Hz
304 --, NaN Hz
305 --, NaN Hz
306 --, NaN Hz
307 --, NaN Hz
308 --, NaN Hz
309 --, NaN Hz
310 --, NaN Hz
311 --, NaN Hz
312 --, NaN Hz
313 --, NaN Hz
314 --, NaN Hz
315 --, NaN Hz
316 --, NaN Hz
317 --, NaN Hz
318 --, NaN Hz
319 --, NaN Hz
320 --, NaN Hz
321 --, NaN Hz
322 --, NaN Hz
323 --, NaN Hz
324 --, NaN Hz
325 --, NaN Hz
326 --, NaN Hz
327 --, NaN Hz
328 --, NaN Hz
329 --, NaN Hz
330 --, NaN Hz
331 --, NaN Hz
332 --, NaN Hz
333 --, NaN Hz
334 --, NaN Hz
335 --, NaN Hz
336 --, NaN Hz
337 --, NaN Hz
338 --, NaN Hz
339 --, NaN Hz
340 --, NaN Hz
341 --, NaN Hz
342 --, NaN Hz
343 --, NaN Hz
344 --, NaN Hz
345 --, NaN Hz
346 --, NaN Hz
347 G, 198.1 Hz
348 --, NaN Hz
349 --, NaN Hz
350 G, 199.4 Hz
351 G, 196.8 Hz
352 G, 196.8 Hz
353 --, NaN Hz
354 G, 200.7 Hz
355 --, NaN Hz
356 --, NaN Hz
357 --, NaN Hz
358 --, NaN Hz
359 --, NaN Hz
360 --, NaN Hz
361 --, NaN Hz
362 --, NaN Hz
363 --, NaN Hz
364 A, 220.3 Hz
365 A, 219.0 Hz
366 A, 221.6 Hz
367 A, 221.6 Hz
368 --, NaN Hz
369 A, 220.3 Hz
370 A, 216.4 Hz
371 A, 220.3 Hz
372 A, 220.3 Hz
373 A, 222.9 Hz
374 A, 220.3 Hz
375 A, 220.3 Hz
376 A, 222.9 Hz
377 A, 220.3 Hz
378 A, 220.3 Hz
379 A, 220.3 Hz
380 --, NaN Hz
381 A, 220.3 Hz
382 --, NaN Hz
383 --, NaN Hz
384 A, 217.7 Hz
385 --, NaN Hz
386 --, NaN Hz
387 --, NaN Hz
388 --, NaN Hz
389 B, 249.0 Hz
390 B, 247.7 Hz
391 B, 247.7 Hz
392 B, 247.7 Hz
393 B, 249.0 Hz
394 B, 249.0 Hz
395 B, 247.7 Hz
396 B, 247.7 Hz
397 B, 246.4 Hz
398 B, 246.4 Hz
399 B, 246.4 Hz
400 B, 245.1 Hz
401 B, 246.4 Hz
402 B, 246.4 Hz
403 B, 245.1 Hz
404 B, 247.7 Hz
405 B, 250.4 Hz
406 --, NaN Hz
407 B, 249.0 Hz
408 B, 246.4 Hz
409 --, NaN Hz
410 B, 247.7 Hz
411 B, 251.7 Hz
412 B, 249.0 Hz
413 B, 246.4 Hz
414 C, 264.7 Hz
415 C, 263.4 Hz
416 C, 260.8 Hz
417 C, 263.4 Hz
418 C, 262.1 Hz
419 C, 262.1 Hz
420 C, 260.8 Hz
421 C, 260.8 Hz
422 C, 262.1 Hz
423 C, 262.1 Hz
424 C, 263.4 Hz
425 C, 262.1 Hz
426 C, 258.2 Hz
427 C, 263.4 Hz
428 C, 262.1 Hz
429 C, 263.4 Hz
430 C, 262.1 Hz
431 C, 260.8 Hz
432 C, 262.1 Hz
433 C, 262.1 Hz
434 C, 258.2 Hz
435 C, 263.4 Hz
436 C, 263.4 Hz
437 C, 262.1 Hz
438 C, 260.8 Hz
439 C, 263.4 Hz
440 --, NaN Hz
441 D, 294.8 Hz
442 D, 289.5 Hz
443 D, 293.5 Hz
444 D, 292.2 Hz
445 D, 294.8 Hz
446 D, 290.9 Hz
447 D, 289.5 Hz
448 D, 293.5 Hz
449 D, 293.5 Hz
450 D, 290.9 Hz
451 D, 296.1 Hz
452 D, 292.2 Hz
453 D, 296.1 Hz
454 D, 292.2 Hz
455 D, 293.5 Hz
456 D, 294.8 Hz
457 D, 293.5 Hz
458 D, 293.5 Hz
459 D, 294.8 Hz
460 D, 293.5 Hz
461 D, 294.8 Hz
462 D, 293.5 Hz
463 D, 296.1 Hz
464 D, 293.5 Hz
465 D, 297.4 Hz
466 D, 292.2 Hz
467 D, 294.8 Hz
468 D, 293.5 Hz
469 D, 290.9 Hz
470 D, 293.5 Hz
471 D, 293.5 Hz
472 D, 290.9 Hz
473 D, 293.5 Hz
474 --, NaN Hz
475 --, NaN Hz
476 --, NaN Hz
477 --, NaN Hz
478 --, NaN Hz
479 --, NaN Hz
480 --, NaN Hz
481 --, NaN Hz
482 --, NaN Hz
483 --, NaN Hz
484 --, NaN Hz
485 --, NaN Hz
486 --, NaN Hz
487 --, NaN Hz
488 --, NaN Hz
489 --, NaN Hz
490 --, NaN Hz
491 --, NaN Hz
492 --, NaN Hz
493 --, NaN Hz
494 --, NaN Hz
495 --, NaN Hz
496 --, NaN Hz
497 --, NaN Hz
498 --, NaN Hz
499 --, NaN Hz
500 --, NaN Hz
501 --, NaN Hz
502 --, NaN Hz
503 --, NaN Hz
504 --, NaN Hz
505 --, NaN Hz
506 --, NaN Hz
507 --, NaN Hz
508 --, NaN Hz
509 --, NaN Hz
510 --, NaN Hz
511 --, NaN Hz
512 --, NaN Hz
513 --, NaN Hz
514 --, NaN Hz
515 --, NaN Hz
516 --, NaN Hz
517 --, NaN Hz
518 --, NaN Hz
519 --, NaN Hz
520 --, NaN Hz
521 --, NaN Hz
522 --, NaN Hz
523 --, NaN Hz
524 --, NaN Hz
525 --, NaN Hz
526 --, NaN Hz
527 --, NaN Hz
528 --, NaN Hz
529 --, NaN Hz
530 --, NaN Hz
531 --, NaN Hz
532 --, NaN Hz
533 --, NaN Hz
534 --, NaN Hz
535 --, NaN Hz
536 --, NaN Hz
537 --, NaN Hz
538 --, NaN Hz
539 --, NaN Hz
540 --, NaN Hz
541 --, NaN Hz
542 --, NaN Hz
543 --, NaN Hz
544 --, NaN Hz
545 --, NaN Hz
546 --, NaN Hz
547 --, NaN Hz
548 --, NaN Hz
549 --, NaN Hz
550 --, NaN Hz
551 --, NaN Hz
552 --, NaN Hz
553 --, NaN Hz
554 --, NaN Hz
555 --, NaN Hz
556 --, NaN Hz
557 --, NaN Hz
558 --, NaN Hz
559 --, NaN Hz
560 --, NaN Hz
561 --, NaN Hz
562 --, NaN Hz
563 --, NaN Hz
564 --, NaN Hz
565 --, NaN Hz
566 --, NaN Hz
567 --, NaN Hz
568 --, NaN Hz
569 --, NaN Hz
570 --, NaN Hz
571 --, NaN Hz
572 --, NaN Hz
573 --, NaN Hz
574 --, NaN Hz
575 D, 297.4 Hz
576 --, NaN Hz
577 --, NaN Hz
578 --, NaN Hz
579 --, NaN Hz
580 --, NaN Hz
581 --, NaN Hz
582 --, NaN Hz
583 --, NaN Hz
584 --, NaN Hz
585 --, NaN Hz
586 --, NaN Hz
587 --, NaN Hz
588 --, NaN Hz
589 --, NaN Hz
590 --, NaN Hz
591 --, NaN Hz
592 --, NaN Hz
593 --, NaN Hz
594 --, NaN Hz
595 --, NaN Hz
596 --, NaN Hz
597 --, NaN Hz
598 --, NaN Hz
599 --, NaN Hz
600 --, NaN Hz
601 --, NaN Hz
602 --, NaN Hz
603 --, NaN Hz
604 --, NaN Hz
605 --, NaN Hz
606 --, NaN Hz
607 --, NaN Hz
608 --, NaN Hz
609 --, NaN Hz
610 --, NaN Hz
611 --, NaN Hz
612 --, NaN Hz
613 --, NaN Hz
614 --, NaN Hz
615 --, NaN Hz
616 --, NaN Hz
617 --, NaN Hz
618 --, NaN Hz
619 --, NaN Hz
620 --, NaN Hz
621 --, NaN Hz
622 --, NaN Hz
623 --, NaN Hz
624 --, NaN Hz
625 --, NaN Hz
626 --, NaN Hz
627 --, NaN Hz
628 --, NaN Hz
629 --, NaN Hz
630 --, NaN Hz
631 --, NaN Hz
632 --, NaN Hz
633 --, NaN Hz
634 --, NaN Hz
635 --, NaN Hz
636 --, NaN Hz
637 --, NaN Hz
638 --, NaN Hz
639 --, NaN Hz
640 --, NaN Hz
641 --, NaN Hz
642 --, NaN Hz
643 --, NaN Hz
644 --, NaN Hz
645 --, NaN Hz
646 --, NaN Hz
647 --, NaN Hz
648 --, NaN Hz
649 --, NaN Hz
650 --, NaN Hz
651 --, NaN Hz
652 --, NaN Hz
653 --, NaN Hz
654 G, 199.4 Hz
655 G, 199.4 Hz
656 --, NaN Hz
657 --, NaN Hz
658 G, 199.4 Hz
659 --, NaN Hz
660 --, NaN Hz
661 --, NaN Hz
662 --, NaN Hz
663 --, NaN Hz
664 --, NaN Hz
665 --, NaN Hz
666 --, NaN Hz
667 --, NaN Hz
668 --, NaN Hz
669 --, NaN Hz
670 --, NaN Hz
671 --, NaN Hz
672 --, NaN Hz
673 --, NaN Hz
674 --, NaN Hz
675 --, NaN Hz
676 --, NaN Hz
677 --, NaN Hz
678 --, NaN Hz
679 A, 221.6 Hz
680 A, 220.3 Hz
681 A, 220.3 Hz
682 A, 216.4 Hz
683 A, 220.3 Hz
684 A, 220.3 Hz
685 A, 220.3 Hz
686 A, 220.3 Hz
687 A, 220.3 Hz
688 A, 220.3 Hz
689 A, 220.3 Hz
690 A, 220.3 Hz
691 A, 220.3 Hz
692 A, 220.3 Hz
693 A, 219.0 Hz
694 A, 220.3 Hz
695 A, 220.3 Hz
696 A, 220.3 Hz
697 --, NaN Hz
698 A, 220.3 Hz
699 --, NaN Hz
700 --, NaN Hz
701 --, NaN Hz
702 --, NaN Hz
703 --, NaN Hz
704 --, NaN Hz
705 --, NaN Hz
706 --, NaN Hz
707 B, 249.0 Hz
708 B, 249.0 Hz
709 B, 249.0 Hz
710 B, 246.4 Hz
711 B, 247.7 Hz
712 B, 245.1 Hz
713 B, 246.4 Hz
714 B, 249.0 Hz
715 B, 246.4 Hz
716 B, 246.4 Hz
717 B, 247.7 Hz
718 B, 247.7 Hz
719 B, 246.4 Hz
720 B, 249.0 Hz
721 B, 249.0 Hz
722 B, 246.4 Hz
723 B, 247.7 Hz
724 B, 249.0 Hz
725 --, NaN Hz
726 B, 249.0 Hz
727 B, 249.0 Hz
728 B, 249.0 Hz
729 B, 246.4 Hz
730 B, 246.4 Hz
731 B, 247.7 Hz
732 B, 246.4 Hz
733 B, 247.7 Hz
734 --, NaN Hz
735 C, 258.2 Hz
736 C, 263.4 Hz
737 C, 262.1 Hz
738 C, 263.4 Hz
739 C, 263.4 Hz
740 C, 264.7 Hz
741 C, 263.4 Hz
742 C, 262.1 Hz
743 C, 262.1 Hz
744 C, 262.1 Hz
745 C, 262.1 Hz
746 C, 262.1 Hz
747 C, 262.1 Hz
748 C, 263.4 Hz
749 C, 258.2 Hz
750 C, 262.1 Hz
751 C, 260.8 Hz
752 C, 260.8 Hz
753 C, 262.1 Hz
754 C, 262.1 Hz
755 C, 263.4 Hz
756 C, 263.4 Hz
757 C, 263.4 Hz
758 C, 263.4 Hz
759 C, 260.8 Hz
760 C, 262.1 Hz
761 --, NaN Hz
762 D, 292.2 Hz
763 D, 290.9 Hz
764 D, 293.5 Hz
765 D, 293.5 Hz
766 D, 290.9 Hz
767 D, 290.9 Hz
768 D, 296.1 Hz
769 D, 294.8 Hz
770 D, 296.1 Hz
771 D, 298.7 Hz
772 D, 296.1 Hz
773 D, 293.5 Hz
774 D, 294.8 Hz
775 D, 293.5 Hz
776 D, 296.1 Hz
777 D, 293.5 Hz
778 D, 292.2 Hz
779 D, 296.1 Hz
780 D, 290.9 Hz
781 D, 292.2 Hz
782 D, 294.8 Hz
783 D, 294.8 Hz
784 D, 296.1 Hz
785 D, 293.5 Hz
786 D, 296.1 Hz
787 D, 294.8 Hz
788 D, 294.8 Hz
789 D, 296.1 Hz
790 D, 292.2 Hz
791 --, NaN Hz
792 D, 294.8 Hz
793 D, 296.1 Hz
794 D, 296.1 Hz
795 D, 292.2 Hz
796 --, NaN Hz
797 --, NaN Hz
798 --, NaN Hz
799 --, NaN Hz
800 --, NaN Hz
801 --, NaN Hz
802 --, NaN Hz
803 --, NaN Hz
804 --, NaN Hz
805 --, NaN Hz
806 --, NaN Hz
807 --, NaN Hz
808 --, NaN Hz
809 --, NaN Hz
810 --, NaN Hz
811 --, NaN Hz
812 --, NaN Hz
813 --, NaN Hz
814 --, NaN Hz
815 --, NaN Hz
816 --, NaN Hz
817 --, NaN Hz
818 --, NaN Hz
819 --, NaN Hz
820 --, NaN Hz
821 --, NaN Hz
822 --, NaN Hz
823 --, NaN Hz
824 --, NaN Hz
825 --, NaN Hz
826 --, NaN Hz
827 --, NaN Hz
828 --, NaN Hz
829 --, NaN Hz
830 --, NaN Hz
831 --, NaN Hz
832 --, NaN Hz
833 --, NaN Hz
834 --, NaN Hz
835 --, NaN Hz
836 --, NaN Hz
837 --, NaN Hz
838 --, NaN Hz
839 --, NaN Hz
840 --, NaN Hz
841 --, NaN Hz
842 --, NaN Hz
843 --, NaN Hz
844 --, NaN Hz
845 --, NaN Hz
846 --, NaN Hz
847 --, NaN Hz
848 --, NaN Hz
849 --, NaN Hz
850 --, NaN Hz
851 --, NaN Hz
852 --, NaN Hz
853 --, NaN Hz
854 --, NaN Hz
855 --, NaN Hz
856 --, NaN Hz
857 --, NaN Hz
858 --, NaN Hz
859 --, NaN Hz
860 --, NaN Hz
861 --, NaN Hz
862 --, NaN Hz
863 --, NaN Hz
864 --, NaN Hz
865 --, NaN Hz
866 --, NaN Hz
867 --, NaN Hz
868 --, NaN Hz
869 --, NaN Hz
870 D, 296.1 Hz
871 --, NaN Hz
872 --, NaN Hz
873 --, NaN Hz
874 --, NaN Hz
875 D, 292.2 Hz
876 --, NaN Hz
877 --, NaN Hz
878 --, NaN Hz
879 --, NaN Hz
880 --, NaN Hz
881 --, NaN Hz
882 --, NaN Hz
883 --, NaN Hz
884 --, NaN Hz
885 --, NaN Hz
886 --, NaN Hz
887 --, NaN Hz
888 --, NaN Hz
889 --, NaN Hz
890 --, NaN Hz
891 --, NaN Hz
892 --, NaN Hz
893 --, NaN Hz
894 --, NaN Hz
895 --, NaN Hz
896 --, NaN Hz
897 --, NaN Hz
898 --, NaN Hz
899 --, NaN Hz
900 --, NaN Hz
901 --, NaN Hz
902 --, NaN Hz
903 --, NaN Hz
904 --, NaN Hz
905 --, NaN Hz
906 --, NaN Hz
907 --, NaN Hz
908 --, NaN Hz
909 --, NaN Hz
910 --, NaN Hz
911 --, NaN Hz
912 --, NaN Hz
913 --, NaN Hz
914 --, NaN Hz
915 --, NaN Hz
916 --, NaN Hz
917 --, NaN Hz
918 --, NaN Hz
919 --, NaN Hz
920 --, NaN Hz
921 --, NaN Hz
922 --, NaN Hz
923 --, NaN Hz
924 --, NaN Hz
925 --, NaN Hz
926 --, NaN Hz
927 --, NaN Hz
928 --, NaN Hz
929 --, NaN Hz
930 --, NaN Hz
931 --, NaN Hz
932 --, NaN Hz
933 --, NaN Hz
934 --, NaN Hz
935 --, NaN Hz
936 --, NaN Hz
937 --, NaN Hz
938 --, NaN Hz
939 --, NaN Hz
940 --, NaN Hz
941 --, NaN Hz
942 --, NaN Hz
943 --, NaN Hz
944 --, NaN Hz
945 --, NaN Hz
946 --, NaN Hz
947 --, NaN Hz
948 --, NaN Hz
